publication,year,endorsed,source,source2,notes
Asbury Park Press,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Asbury Park Press,1988,Bush,"""Let George do it."" Asbury Park Press. Oct 30, 1988. p. C2.",,
Asbury Park Press,1992,Clinton,http://www.nytimes.com/1992/10/26/us/the-1992-campaign-more-newspapers-endorse.html,,
Asbury Park Press,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Asbury Park Press,2000,Bush,https://www.gwu.edu/~action/natendorse5.html,,
Asbury Park Press,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Asbury Park Press,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Asbury Park Press,2012,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Asbury Park Press,2016,Clinton,http://www.app.com/story/opinion/editorials/2016/11/04/endorsements-asbury-park-press/93291774/,,
Atlanta Journal-Constitution,1980,Carter,"https://news.google.com/newspapers?nid=1697&dat=19761026&id=1iQqAAAAIBAJ&sjid=3EYEAAAAIBAJ&pg=5486,4025894&hl=en","""Vote Tuesday."" Atlanta Journal. Nov 3, 1980. p 4A.",Atlanta Journal and Atlanta Constitution both endorsed Carter
Atlanta Journal-Constitution,1984,Reagan/Mondale,http://www.upi.com/Archives/1984/10/19/The-Atlanta-Constitution-endorsed-Democratic-presidential-candidate-Walter-Mondale/2930467006400/,"Associated Press. Nov 5, 1984.","Atlanta Journal endorsed Reagan, Atlanta Constitution endorsed Mondale"
Atlanta Journal-Constitution,1988,Bush/Dukakis,http://www.apnewsarchive.com/1988/Editorial-Boards-Uninspired-By-Campaign-Candidates-With-AM-Election-Rdp-Bjt/id-53c278a35016d6234f251acda6ff95c0,,"Atlanta Journal endorsed Bush, Atlanta Constitution endorsed Dukakis"
Atlanta Journal-Constitution,1992,Bush/Clinton,http://articles.chicagotribune.com/1992-10-22/news/9204050599_1_democrat-bill-clinton-president-bush-usa-today-poll,https://books.google.com/books?id=LwIc_n1OKW4C&lpg=PA103&ots=kSoq-y7i8v&pg=PA103#v=onepage&q&f=false,"Atlanta Journal endorsed Bush, Atlanta Constitution endorsed Clinton"
Atlanta Journal-Constitution,1996,Dole/Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,https://books.google.com/books?id=LwIc_n1OKW4C&lpg=PA103&ots=kSoq-y7i8v&pg=PA103#v=onepage&q&f=false,"Atlanta Journal endorsed Dole, Atlanta Constitution endorsed Clinton"
Atlanta Journal-Constitution,2000,Bush/Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,"Atlanta Journal endorsed Bush, Atlanta Constitution endorsed Gore"
Atlanta Journal-Constitution,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Atlanta Journal-Constitution,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Atlanta Journal-Constitution,2012,None,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Atlanta Journal-Constitution,2016,Unknown,,,
Austin American-Statesman,1980,Anderson,https://books.google.com/books?id=kXKFfYMjiloC&lpg=PA403&pg=PA403#v=onepage&q&f=false,,
Austin American-Statesman,1984,Mondale,"Associated Press. Nov 4, 1984.",,
Austin American-Statesman,1988,Dukakis,"Confirmed by Jill Chancellor, Northeastern University Library Archives Assistant, via email",,
